78;0,941407864330665V;1,0cm;0,078ms
79;0,9524764073358781V;1,0cm;0,079ms
80;0,9635073482034306V;1,0cm;0,08ms
81;0,9745002514506645V;1,0cm;0,081ms
82;0,9854546830965831V;1,0cm;0,082ms
83;0,9963702106789816V;1,0cm;0,083ms
84;1,0072464032715216V;1,0cm;0,084ms
85;1,0180828315007426V;1,0cm;0,085ms
86;1,0288790675630128V;1,0cm;0,08600000000000001ms
87;1,039634685241419V;1,0cm;0,08700000000000001ms
88;1,0503492599225912V;1,0cm;0,088ms
89;1,061022368613468V;1,0cm;0,089ms
90;1,0716535899579933V;1,0cm;0,09ms
91;1,0822425042537516V;1,0cm;0,091ms
92;1,0927886934685382V;1,0cm;0,092ms
93;1,1032917412568604V;1,0cm;0,093ms
94;1,113751232976376V;1,0cm;0,094ms
95;1,1241667557042612V;1,0cm;0,095ms
96;1,134537898253513V;1,0cm;0,096ms
97;1,1448642511891818V;1,0cm;0,097ms
98;1,1551454068445353V;1,0cm;0,098ms
99;1,1653809593371522V;1,0cm;0,099ms
100;1,1755705045849463V;1,0cm;0,1ms
101;1,1857136403221185V;1,0cm;0,101ms
102;1,1958099661150376V;1,0cm;0,10200000000000001ms
103;1,2058590833780494V;1,0cm;0,10300000000000001ms
104;1,215860595389211V;1,0cm;0,10400000000000001ms
105;1,2258141073059527V;1,0cm;0,105ms
106;1,2357192261806687V;1,0cm;0,106ms
107;1,2455755609762251V;1,0cm;0,107ms
108;1,255382722581401V;1,0cm;0,108ms
109;1,2651403238262489V;1,0cm;0,109ms
110;1,2748479794973793V;1,0cm;0,11ms
111;1,2845053063531688V;1,0cm;0,111ms
112;1,2941119231388885V;1,0cm;0,112ms
113;1,3036674506017576V;1,0cm;0,113ms
114;1,313171511505913V;1,0cm;0,114ms
115;1,3226237306473037V;1,0cm;0,115ms
116;1,3320237348685033V;1,0cm;0,116ms
117;1,34137115307344V;1,0cm;0,117ms
118;1,350665616242049V;1,0cm;0,11800000000000001ms
119;1,3599067574448385V;1,0cm;0,11900000000000001ms
120;1,3690942118573772V;1,0cm;0,12ms
121;1,378227616774697V;1,0cm;0,121ms
122;1,3873066116256099V;1,0cm;0,122ms
123;1,3963308379869452V;1,0cm;0,123ms
124;1,4052999395976984V;1,0cm;0,124ms
125;1,414213562373095V;1,0cm;0,125ms
126;1,4230713544185707V;1,0cm;0,126ms
127;1,4318729660436622V;1,0cm;0,127ms
128;1,4406180497758139V;1,0cm;0,128ms
129;1,4493062603740932V;1,0cm;0,129ms
130;1,457937254842823V;1,0cm;0,13ms
131;1,46651069244512V;1,0cm;0,131ms
132;1,4750262347163479V;1,0cm;0,132ms
133;1,4834835454774784V;1,0cm;0,133ms
134;1,4918822908483642V;1,0cm;0,134ms
135;1,5002221392609192V;1,0cm;0,135ms
136;1,5085027614722075V;1,0cm;0,136ms
137;1,5167238305774438V;1,0cm;0,137ms
138;1,5248850220228958V;1,0cm;0,138ms
139;1,5329860136186997V;1,0cm;0,139ms
140;1,5410264855515785V;1,0cm;0,14ms
141;1,5490061203974677V;1,0cm;0,14100000000000001ms
142;1,556924603134047V;1,0cm;0,14200000000000002ms
143;1,5647816211531762V;1,0cm;0,14300000000000002ms
144;1,5725768642732378V;1,0cm;0,14400000000000002ms
145;1,5803100247513806V;1,0cm;0,145ms
146;1,5879807972956705V;1,0cm;0,146ms
147;1,595588879077142V;1,0cm;0,147ms
148;1,603133969741753V;1,0cm;0,148ms
149;1,6106157714222438V;1,0cm;0,149ms
150;1,618033988749895V;1,0cm;0,15ms
151;1,625388328866188V;1,0cm;0,151ms
152;1,6326785014343679V;1,0cm;0,152ms
153;1,6399042186509045V;1,0cm;0,153ms
154;1,647065195256855V;1,0cm;0,154ms
155;1,6541611485491237V;1,0cm;0,155ms
156;1,6611917983916251V;1,0cm;0,156ms
157;1,6681568672263423V;1,0cm;0,157ms
158;1,6750560800842833V;1,0cm;0,158ms
159;1,681889164596338V;1,0cm;0,159ms
160;1,6886558510040302V;1,0cm;0,16ms
161;1,6953558721701663V;1,0cm;0,161ms
162;1,7019889635893837V;1,0cm;0,162ms
163;1,7085548633985903V;1,0cm;0,163ms
164;1,7150533123873046V;1,0cm;0,164ms
165;1,7214840540078873V;1,0cm;0,165ms
166;1,7278468343856705V;1,0cm;0,166ms
167;1,73414140232898V;1,0cm;0,167ms
168;1,7403675093390514V;1,0cm;0,168ms
169;1,7465249096198403V;1,0cm;0,169ms
170;1,7526133600877274V;1,0cm;0,17ms
171;1,7586326203811125V;1,0cm;0,171ms
172;1,7645824528699066V;1,0cm;0,17200000000000001ms
173;1,7704626226649105V;1,0cm;0,17300000000000001ms
174;1,7762728976270892V;1,0cm;0,17400000000000002ms
175;1,7820130483767356V;1,0cm;0,17500000000000002ms
176;1,7876828483025273V;1,0cm;0,176ms
177;1,7932820735704715V;1,0cm;0,177ms
178;1,798810503132742V;1,0cm;0,178ms
179;1,8042679187364057V;1,0cm;0,179ms
180;1,8096541049320392V;1,0cm;0,18ms
181;1,8149688490822338V;1,0cm;0,181ms
182;1,8202119413699913V;1,0cm;0,182ms
183;1,8253831748070055V;1,0cm;0,183ms
184;1,830482345241835V;1,0cm;0,184ms
185;1,8355092513679623V;1,0cm;0,185ms
186;1,8404636947317405V;1,0cm;0,186ms
187;1,8453454797402296V;1,0cm;0,187ms
188;1,850154413668916V;1,0cm;0,188ms
189;1,8548903066693228V;1,0cm;0,189ms
190;1,8595529717765027V;1,0cm;0,19ms
191;1,864142224916422V;1,0cm;0,191ms
192;1,868657884913224V;1,0cm;0,192ms
193;1,8730997734963848V;1,0cm;0,193ms
194;1,8774677153077481V;1,0cm;0,194ms
195;1,881761537908451V;1,0cm;0,195ms
196;1,8859810717857288V;1,0cm;0,196ms
197;1,8901261503596096V;1,0cm;0,197ms
198;1,8941966099894887V;1,0cm;0,198ms
199;1,8981922899805892V;1,0cm;0,199ms
200;1,902113032590307V;1,0cm;0,2ms
201;1,9059586830344377V;1,0cm;0,201ms
202;1,909729089493286V;1,0cm;0,202ms
203;1,913424103117661V;1,0cm;0,203ms
204;1,9170435780347517V;1,0cm;0,20400000000000001ms
205;1,9205873713538861V;1,0cm;0,20500000000000002ms
206;1,9240553431721719V;1,0cm;0,20600000000000002ms
207;1,9274473565800194V;1,0cm;0,20700000000000002ms
208;1,9307632776665478V;1,0cm;0,20800000000000002ms
209;1,93400297552487V;1,0cm;0,209ms
210;1,9371663222572622V;1,0cm;0,21ms
211;1,9402531929802116V;1,0cm;0,211ms
212;1,9432634658293477V;1,0cm;0,212ms
213;1,946197021964253V;1,0cm;0,213ms
214;1,9490537455731543V;1,0cm;0,214ms
215;1,9518335238774946V;1,0cm;0,215ms
216;1,954536247136387V;1,0cm;0,216ms
217;1,9571618086509441V;1,0cm;0,217ms
218;1,9597101047684937V;1,0cm;0,218ms
219;1,9621810348866682V;1,0cm;0,219ms
220;1,9645745014573772V;1,0cm;0,22ms
221;1,9668904099906594V;1,0cm;0,221ms
222;1,9691286690584107V;1,0cm;0,222ms
223;1,971289190297996V;1,0cm;0,223ms
224;1,973371888415736V;1,0cm;0,224ms
225;1,9753766811902755V;1,0cm;0,225ms
226;1,9773034894758281V;1,0cm;0,226ms
227;1,9791522372053019V;1,0cm;0,227ms
228;1,9809228513933024V;1,0cm;0,228ms
229;1,9826152621390132V;1,0cm;0,229ms
230;1,9842294026289558V;1,0cm;0,23ms
231;1,9857652091396274V;1,0cm;0,231ms
232;1,9872226210400168V;1,0cm;0,232ms
233;1,9886015807939978V;1,0cm;0,233ms
234;1,9899020339626003V;1,0cm;0,234ms
235;1,99112392920616V;1,0cm;0,23500000000000001ms
236;1,992267218286345V;1,0cm;0,23600000000000002ms
237;1,9933318560680597V;1,0cm;0,23700000000000002ms
238;1,9943178005212279V;1,0cm;0,23800000000000002ms
239;1,9952250127224505V;1,0cm;0,23900000000000002ms
240;1,9960534568565431V;1,0cm;0,24ms
241;1,99680310021795V;1,0cm;0,241ms
242;1,997473913212035V;1,0cm;0,242ms
243;1,9980658693562494V;1,0cm;0,243ms
244;1,9985789452811784V;1,0cm;0,244ms
245;1,9990131207314632V;1,0cm;0,245ms
246;1,9993683785665999V;1,0cm;0,246ms
247;1,999644704761618V;1,0cm;0,247ms
248;1,9998420884076322V;1,0cm;0,248ms
249;1,9999605217122742V;1,0cm;0,249ms
250;2,0V;1,0cm;0,25ms
251;1,9999605217122742V;1,0cm;0,251ms
252;1,9998420884076322V;1,0cm;0,252ms
253;1,999644704761618V;1,0cm;0,253ms
254;1,9993683785665999V;1,0cm;0,254ms
255;1,9990131207314632V;1,0cm;0,255ms
256;1,9985789452811784V;1,0cm;0,256ms
257;1,9980658693562494V;1,0cm;0,257ms
258;1,997473913212035V;1,0cm;0,258ms
259;1,99680310021795V;1,0cm;0,259ms
260;1,9960534568565431V;1,0cm;0,26ms
261;1,9952250127224505V;1,0cm;0,261ms
262;1,9943178005212279V;1,0cm;0,262ms
263;1,9933318560680597V;1,0cm;0,263ms
264;1,992267218286345V;1,0cm;0,264ms
265;1,99112392920616V;1,0cm;0,265ms
266;1,9899020339626003V;1,0cm;0,266ms
267;1,9886015807939978V;1,0cm;0,267ms
268;1,9872226210400168V;1,0cm;0,268ms
269;1,9857652091396274V;1,0cm;0,269ms
270;1,9842294026289555V;1,0cm;0,27ms
271;1,9826152621390132V;1,0cm;0,271ms
272;1,9809228513933024V;1,0cm;0,272ms
273;1,9791522372053019V;1,0cm;0,273ms
274;1,977303489475828V;1,0cm;0,274ms
275;1,9753766811902753V;1,0cm;0,275ms
276;1,973371888415736V;1,0cm;0,276ms
277;1,971289190297996V;1,0cm;0,277ms
278;1,9691286690584107V;1,0cm;0,278ms
279;1,9668904099906592V;1,0cm;0,279ms
280;1,9645745014573772V;1,0cm;0,28ms
281;1,9621810348866682V;1,0cm;0,281ms
282;1,9597101047684937V;1,0cm;0,28200000000000003ms
283;1,9571618086509441V;1,0cm;0,28300000000000003ms
284;1,9545362471363867V;1,0cm;0,28400000000000003ms
285;1,9518335238774949V;1,0cm;0,28500000000000003ms
286;1,9490537455731543V;1,0cm;0,28600000000000003ms
287;1,946197021964253V;1,0cm;0,28700000000000003ms
288;1,9432634658293477V;1,0cm;0,28800000000000003ms
289;1,9402531929802118V;1,0cm;0,289ms
290;1,9371663222572624V;1,0cm;0,29ms
291;1,9340029755248702V;1,0cm;0,291ms
292;1,930763277666548V;1,0cm;0,292ms
293;1,9274473565800196V;1,0cm;0,293ms
294;1,9240553431721719V;1,0cm;0,294ms
295;1,9205873713538861V;1,0cm;0,295ms
296;1,917043578034752V;1,0cm;0,296ms
297;1,913424103117661V;1,0cm;0,297ms
298;1,9097290894932861V;1,0cm;0,298ms
299;1,9059586830344377V;1,0cm;0,299ms
300;1,9021130325903073V;1,0cm;0,3ms
301;1,8981922899805894V;1,0cm;0,301ms
302;1,8941966099894887V;1,0cm;0,302ms
303;1,8901261503596098V;1,0cm;0,303ms
304;1,885981071785729V;1,0cm;0,304ms
305;1,881761537908451V;1,0cm;0,305ms
306;1,8774677153077484V;1,0cm;0,306ms
307;1,8730997734963848V;1,0cm;0,307ms
308;1,8686578849132243V;1,0cm;0,308ms
309;1,864142224916422V;1,0cm;0,309ms
310;1,8595529717765027V;1,0cm;0,31ms
311;1,8548903066693228V;1,0cm;0,311ms
312;1,850154413668916V;1,0cm;0,312ms
313;1,8453454797402298V;1,0cm;0,313ms
314;1,8404636947317408V;1,0cm;0,314ms
315;1,8355092513679625V;1,0cm;0,315ms
316;1,8304823452418353V;1,0cm;0,316ms
317;1,8253831748070057V;1,0cm;0,317ms
318;1,8202119413699913V;1,0cm;0,318ms
319;1,8149688490822338V;1,0cm;0,319ms
320;1,809654104932039V;1,0cm;0,32ms
321;1,8042679187364055V;1,0cm;0,321ms
322;1,7988105031327424V;1,0cm;0,322ms
323;1,793282073570472V;1,0cm;0,323ms
324;1,7876828483025278V;1,0cm;0,324ms
325;1,7820130483767358V;1,0cm;0,325ms
326;1,7762728976270892V;1,0cm;0,326ms
327;1,7704626226649105V;1,0cm;0,327ms
328;1,7645824528699066V;1,0cm;0,328ms
329;1,7586326203811125V;1,0cm;0,329ms
330;1,752613360087727V;1,0cm;0,33ms
331;1,74652490961984V;1,0cm;0,331ms
332;1,7403675093390514V;1,0cm;0,332ms
333;1,7341414023289803V;1,0cm;0,333ms
334;1,7278468343856708V;1,0cm;0,334ms
335;1,7214840540078873V;1,0cm;0,335ms
336;1,7150533123873044V;1,0cm;0,336ms
337;1,7085548633985903V;1,0cm;0,337ms
338;1,7019889635893835V;1,0cm;0,338ms
339;1,6953558721701663V;1,0cm;0,339ms
340;1,68865585100403V;1,0cm;0,34ms
341;1,6818891645963383V;1,0cm;0,341ms
342;1,6750560800842835V;1,0cm;0,342ms
343;1,6681568672263425V;1,0cm;0,343ms
344;1,6611917983916253V;1,0cm;0,34400000000000003ms
345;1,6541611485491234V;1,0cm;0,34500000000000003ms
346;1,6470651952568547V;1,0cm;0,34600000000000003ms
347;1,6399042186509045V;1,0cm;0,34700000000000003ms
348;1,6326785014343677V;1,0cm;0,34800000000000003ms
349;1,6253883288661874V;1,0cm;0,34900000000000003ms
350;1,618033988749895V;1,0cm;0,35000000000000003ms
351;1,610615771422244V;1,0cm;0,35100000000000003ms
352;1,6031339697417537V;1,0cm;0,352ms
353;1,5955888790771424V;1,0cm;0,353ms
354;1,587980797295671V;1,0cm;0,354ms
355;1,580310024751381V;1,0cm;0,355ms
356;1,572576864273238V;1,0cm;0,356ms
357;1,5647816211531764V;1,0cm;0,357ms
358;1,556924603134047V;1,0cm;0,358ms
359;1,5490061203974677V;1,0cm;0,359ms
360;1,5410264855515785V;1,0cm;0,36ms
361;1,5329860136186997V;1,0cm;0,361ms
362;1,5248850220228962V;1,0cm;0,362ms
363;1,516723830577444V;1,0cm;0,363ms
364;1,508502761472208V;1,0cm;0,364ms
365;1,5002221392609194V;1,0cm;0,365ms
366;1,4918822908483644V;1,0cm;0,366ms
367;1,4834835454774784V;1,0cm;0,367ms
368;1,4750262347163479V;1,0cm;0,368ms
369;1,46651069244512V;1,0cm;0,369ms
370;1,4579372548428229V;1,0cm;0,37ms
371;1,4493062603740938V;1,0cm;0,371ms
372;1,440618049775814V;1,0cm;0,372ms
373;1,4318729660436627V;1,0cm;0,373ms
374;1,423071354418571V;1,0cm;0,374ms
375;1,4142135623730951V;1,0cm;0,375ms
376;1,4052999395976984V;1,0cm;0,376ms
377;1,3963308379869452V;1,0cm;0,377ms
378;1,3873066116256099V;1,0cm;0,378ms
379;1,3782276167746967V;1,0cm;0,379ms
380;1,3690942118573777V;1,0cm;0,38ms
381;1,3599067574448387V;1,0cm;0,381ms
382;1,3506656162420492V;1,0cm;0,382ms
383;1,3413711530734402V;1,0cm;0,383ms
384;1,3320237348685033V;1,0cm;0,384ms
385;1,3226237306473037V;1,0cm;0,385ms
386;1,3131715115059128V;1,0cm;0,386ms
387;1,3036674506017574V;1,0cm;0,387ms
388;1,2941119231388885V;1,0cm;0,388ms
389;1,284505306353169V;1,0cm;0,389ms
390;1,2748479794973797V;1,0cm;0,39ms
391;1,265140323826249V;1,0cm;0,391ms
392;1,2553827225814012V;1,0cm;0,392ms
393;1,2455755609762251V;1,0cm;0,393ms
394;1,2357192261806687V;1,0cm;0,394ms
395;1,2258141073059527V;1,0cm;0,395ms
396;1,2158605953892105V;1,0cm;0,396ms
397;1,2058590833780491V;1,0cm;0,397ms
398;1,1958099661150374V;1,0cm;0,398ms
399;1,1857136403221187V;1,0cm;0,399ms
400;1,1755705045849465V;1,0cm;0,4ms
401;1,1653809593371522V;1,0cm;0,401ms
402;1,1551454068445353V;1,0cm;0,402ms
403;1,1448642511891816V;1,0cm;0,403ms
404;1,1345378982535128V;1,0cm;0,404ms
405;1,124166755704261V;1,0cm;0,405ms
406;1,1137512329763757V;1,0cm;0,406ms
407;1,10329174125686V;1,0cm;0,40700000000000003ms
408;1,0927886934685385V;1,0cm;0,40800000000000003ms
409;1,0822425042537518V;1,0cm;0,40900000000000003ms
410;1,0716535899579933V;1,0cm;0,41000000000000003ms
411;1,061022368613468V;1,0cm;0,41100000000000003ms
412;1,0503492599225912V;1,0cm;0,41200000000000003ms
413;1,0396346852414187V;1,0cm;0,41300000000000003ms
414;1,0288790675630126V;1,0cm;0,41400000000000003ms
415;1,0180828315007422V;1,0cm;0,41500000000000004ms
416;1,0072464032715212V;1,0cm;0,41600000000000004ms
417;0,9963702106789818V;1,0cm;0,417ms
418;0,9854546830965832V;1,0cm;0,418ms
419;0,9745002514506653V;1,0cm;0,419ms
420;0,9635073482034312V;1,0cm;0,42ms
421;0,9524764073358788V;1,0cm;0,421ms
422;0,9414078643306656V;1,0cm;0,422ms
423;0,9303021561549171V;1,0cm;0,423ms
424;0,919159721242976V;1,0cm;0,424ms
425;0,9079809994790937V;1,0cm;0,425ms
426;0,8967664321800646V;1,0cm;0,426ms
427;0,8855164620778031V;1,0cm;0,427ms
428;0,8742315333018658V;1,0cm;0,428ms
429;0,8629120913619186V;1,0cm;0,429ms
430;0,8515585831301458V;1,0cm;0,43ms
431;0,8401714568236129V;1,0cm;0,431ms
432;0,8287511619865686V;1,0cm;0,432ms
433;0,8172981494726983V;1,0cm;0,433ms
434;0,8058128714273255V;1,0cm;0,434ms
435;0,7942957812695612V;1,0cm;0,435ms
436;0,7827473336744047V;1,0cm;0,436ms
437;0,771167984554793V;1,0cm;0,437ms
438;0,7595581910436028V;1,0cm;0,438ms
439;0,7479184114756013V;1,0cm;0,439ms
440;0,7362491053693563V;1,0cm;0,44ms
441;0,7245507334090916V;1,0cm;0,441ms
442;0,7128237574265016V;1,0cm;0,442ms
443;0,701068640382518V;1,0cm;0,443ms
444;0,6892858463490341V;1,0cm;0,444ms
445;0,6774758404905826V;1,0cm;0,445ms
446;0,665639089045973V;1,0cm;0,446ms
447;0,6537760593098855V;1,0cm;0,447ms
448;0,6418872196144194V;1,0cm;0,448ms
449;0,6299730393106099V;1,0cm;0,449ms
450;0,618033988749895V;1,0cm;0,45ms
451;0,6060705392655481V;1,0cm;0,451ms
452;0,5940831631540698V;1,0cm;0,452ms
453;0,5820723336565435V;1,0cm;0,453ms
454;0,5700385249399521V;1,0cm;0,454ms
455;0,5579822120784582V;1,0cm;0,455ms
456;0,5459038710346501V;1,0cm;0,456ms
457;0,5338039786407515V;1,0cm;0,457ms
458;0,5216830125797941V;1,0cm;0,458ms
459;0,5095414513667645V;1,0cm;0,459ms
460;0,49737977432970965V;1,0cm;0,46ms
461;0,4851984615908148V;1,0cm;0,461ms
462;0,4729979940474492V;1,0cm;0,462ms
463;0,4607788533531809V;1,0cm;0,463ms
464;0,448541521898762V;1,0cm;0,464ms
465;0,43628648279308463V;1,0cm;0,465ms
466;0,4240142198441096V;1,0cm;0,466ms
467;0,4117252175397628V;1,0cm;0,467ms
468;0,3994199610288141V;1,0cm;0,468ms
469;0,3870989361017205V;1,0cm;0,46900000000000003ms
470;0,37476262917144915V;1,0cm;0,47000000000000003ms
471;0,3624115272542745V;1,0cm;0,47100000000000003ms
472;0,35004611795055174V;1,0cm;0,47200000000000003ms
473;0,3376668894254673V;1,0cm;0,47300000000000003ms
474;0,32527433038976666V;1,0cm;0,47400000000000003ms
475;0,31286893008046196V;1,0cm;0,47500000000000003ms
476;0,30045117824151424V;1,0cm;0,47600000000000003ms
477;0,28802156510450433V;1,0cm;0,47700000000000004ms
478;0,27558058136927605V;1,0cm;0,47800000000000004ms
479;0,2631287181845648V;1,0cm;0,47900000000000004ms
480;0,25066646712860907V;1,0cm;0,48ms
481;0,23819432018973996V;1,0cm;0,481ms
482;0,22571276974696375V;1,0cm;0,482ms
483;0,2132223085505201V;1,0cm;0,483ms
484;0,20072342970242996V;1,0cm;0,484ms
485;0,1882166266370287V;1,0cm;0,485ms
486;0,1757023931014863V;1,0cm;0,486ms
487;0,16318122313631583V;1,0cm;0,487ms
488;0,15065361105586608V;1,0cm;0,488ms
489;0,13812005142881212V;1,0cm;0,489ms
490;0,12558103905862716V;1,0cm;0,49ms
491;0,11303706896404936V;1,0cm;0,491ms
492;0,10048863635953932V;1,0cm;0,492ms
493;0,0879362366357299V;1,0cm;0,493ms
494;0,07538036533986907V;1,0cm;0,494ms
495;0,06282151815625647V;1,0cm;0,495ms
496;0,050260190886675625V;1,0cm;0,496ms
497;0,03769687943081692V;1,0cm;0,497ms
498;0,025132079766705673V;1,0cm;0,498ms
499;0,012566287931118254V;1,0cm;0,499ms
500;2,4492935982947064e-16V;1,0cm;0,5ms
501;-0,012566287931117763V;1,0cm;0,501ms
502;-0,025132079766705184V;1,0cm;0,502ms
503;-0,03769687943081643V;1,0cm;0,503ms
504;-0,05026019088667514V;1,0cm;0,504ms
505;-0,06282151815625599V;1,0cm;0,505ms
506;-0,07538036533986858V;1,0cm;0,506ms
507;-0,08793623663572941V;1,0cm;0,507ms
508;-0,10048863635953884V;1,0cm;0,508ms
509;-0,11303706896404887V;1,0cm;0,509ms
510;-0,1255810390586267V;1,0cm;0,51ms
511;-0,13812005142881162V;1,0cm;0,511ms
512;-0,15065361105586558V;1,0cm;0,512ms
513;-0,16318122313631536V;1,0cm;0,513ms
514;-0,1757023931014858V;1,0cm;0,514ms
515;-0,1882166266370282V;1,0cm;0,515ms
516;-0,20072342970242946V;1,0cm;0,516ms
517;-0,2132223085505196V;1,0cm;0,517ms
518;-0,22571276974696328V;1,0cm;0,518ms
519;-0,23819432018973946V;1,0cm;0,519ms
520;-0,25066646712860857V;1,0cm;0,52ms
521;-0,26312871818456524V;1,0cm;0,521ms
522;-0,27558058136927643V;1,0cm;0,522ms
523;-0,2880215651045047V;1,0cm;0,523ms
524;-0,30045117824151374V;1,0cm;0,524ms
525;-0,31286893008046146V;1,0cm;0,525ms
526;-0,32527433038976705V;1,0cm;0,526ms
527;-0,3376668894254677V;1,0cm;0,527ms
528;-0,3500461179505522V;1,0cm;0,528ms
529;-0,3624115272542749V;1,0cm;0,529ms
530;-0,37476262917144954V;1,0cm;0,53ms
531;-0,3870989361017209V;1,0cm;0,531ms
532;-0,3994199610288145V;1,0cm;0,532ms
533;-0,4117252175397624V;1,0cm;0,533ms
534;-0,4240142198441091V;1,0cm;0,534ms
535;-0,436286482793085V;1,0cm;0,535ms
536;-0,4485415218987624V;1,0cm;0,536ms
537;-0,4607788533531813V;1,0cm;0,537ms
538;-0,4729979940474496V;1,0cm;0,538ms
539;-0,4851984615908152V;1,0cm;0,539ms
540;-0,49737977432971003V;1,0cm;0,54ms
541;-0,5095414513667649V;1,0cm;0,541ms
542;-0,5216830125797937V;1,0cm;0,542ms
543;-0,533803978640751V;1,0cm;0,543ms
544;-0,5459038710346504V;1,0cm;0,544ms
545;-0,5579822120784586V;1,0cm;0,545ms
546;-0,5700385249399524V;1,0cm;0,546ms
547;-0,582072333656544V;1,0cm;0,547ms
548;-0,5940831631540702V;1,0cm;0,548ms
549;-0,6060705392655484V;1,0cm;0,549ms
550;-0,6180339887498955V;1,0cm;0,55ms
551;-0,6299730393106103V;1,0cm;0,551ms
552;-0,641887219614419V;1,0cm;0,552ms
553;-0,653776059309885V;1,0cm;0,553ms
554;-0,6656390890459735V;1,0cm;0,554ms
555;-0,677475840490583V;1,0cm;0,555ms
556;-0,6892858463490344V;1,0cm;0,556ms
557;-0,7010686403825185V;1,0cm;0,557ms
558;-0,712823757426502V;1,0cm;0,558ms
559;-0,724550733409092V;1,0cm;0,559ms
560;-0,7362491053693566V;1,0cm;0,56ms
561;-0,7479184114756009V;1,0cm;0,561ms
562;-0,7595581910436023V;1,0cm;0,562ms
563;-0,7711679845547933V;1,0cm;0,5630000000000001ms
564;-0,7827473336744052V;1,0cm;0,5640000000000001ms
565;-0,7942957812695616V;1,0cm;0,5650000000000001ms
566;-0,8058128714273258V;1,0cm;0,5660000000000001ms
567;-0,8172981494726986V;1,0cm;0,5670000000000001ms
